abbrev,year,totalpop,under18pop,area,density,log_density,gte18pop,avgstatepopbyyear,under18pct,gte18pct,gte18_pctgr,q_gte18pct,G_0,G_1,G_2,G_3,G_4
OR,2013,3930065.0,857606.0,98386.0,39.94536824344927,3.687512726653542,3072459.0,6148921.634615385,0.21821674705125743,0.7817832529487426,0.010713542031605794,4,False,False,False,False,True
PA,1990,11903299.0,2799168.0,46058.0,258.44150853271964,5.554669395744279,9104131.0,4894564.980392157,0.23515900927969632,0.7648409907203036,,3,False,False,False,True,False
PA,1991,11982164.0,2830059.0,46058.0,260.1538060706066,5.56127301792184,9152105.0,4960410.62745098,0.23618930603854196,0.7638106939614581,0.0052694760213798375,3,False,False,False,True,False
PA,1992,12049450.0,2873013.0,46058.0,261.61470320031265,5.5668728228977695,9176437.0,5029690.803921568,0.23843519828705875,0.7615648017129413,0.0026586233440284435,3,False,False,False,True,False
PA,1993,12119724.0,2907351.0,46058.0,263.1404750531938,5.572688015260961,9212373.0,5096443.039215687,0.23988590829296114,0.7601140917070389,0.003916116898094568,3,False,False,False,True,False
PA,1994,12166050.0,2932851.0,46058.0,264.1462938034652,5.576503092860618,9233199.0,5159329.9215686275,0.24106846511398522,0.7589315348860147,0.0022606553164965515,3,False,False,False,True,False
PA,1995,12198403.0,2941531.0,46058.0,264.8487342046984,5.579158848687812,9256872.0,5221145.156862745,0.24114066406889492,0.7588593359311051,0.0025639001173916043,3,False,False,False,True,False
PA,1996,12220464.0,2937411.0,46058.0,265.3277172261062,5.580965730718997,9283053.0,5282241.0,0.240368205331647,0.7596317946683531,0.0028282771977401477,3,False,False,False,True,False
PA,1997,12227814.0,2942240.0,46058.0,265.48729862347477,5.581567000078045,9285574.0,5346018.274509804,0.2406186420565442,0.7593813579434558,0.0002715701396942549,3,False,False,False,True,False
PA,1998,12245672.0,2940285.0,46058.0,265.87502713969343,5.583026375597287,9305387.0,5408904.235294118,0.24010809696683041,0.7598919030331696,0.0021337399281939895,3,False,False,False,True,False
PA,1999,12263805.0,2930193.0,46058.0,266.2687263884667,5.584506048403721,9333612.0,5471376.098039215,0.23893016889945656,0.7610698311005434,0.003033189269828318,3,False,False,False,True,False
PA,2000,12284173.0,2918850.0,46058.0,266.7109514090929,5.586165492996188,9365323.0,5499481.076923077,0.2376106230350224,0.7623893769649777,0.0033975057030439793,3,False,False,False,True,False
PA,2001,12298970.0,2905836.0,46058.0,267.0322202440401,5.58736932619091,9393134.0,5553610.173076923,0.23626661419614814,0.7637333858038519,0.0029695718983744346,3,False,False,False,True,False
PA,2002,12331031.0,2894935.0,46058.0,267.7283208128881,5.589972738030679,9436096.0,5604786.423076923,0.23476828498768676,0.7652317150123132,0.004573766327617523,3,False,False,False,True,False
PA,2003,12374658.0,2883270.0,46058.0,268.6755395371054,5.593504478865539,9491388.0,5652577.461538462,0.2329979543677086,0.7670020456322915,0.00585962669307305,4,False,False,False,False,True
PA,2004,12410722.0,2873125.0,46058.0,269.45855226019364,5.596414583568496,9537597.0,5704464.923076923,0.23150345322375282,0.7684965467762472,0.004868518703481595,4,False,False,False,False,True
PA,2005,12449990.0,2859793.0,46058.0,270.3111294454818,5.599573626853855,9590197.0,5756499.25,0.22970243349593053,0.7702975665040694,0.005515015994070671,4,False,False,False,False,True
PA,2006,12510809.0,2850778.0,46058.0,271.63161665725823,5.604446797809618,9660031.0,5811252.423076923,0.22786520040390673,0.7721347995960932,0.007281810790748189,4,False,False,False,False,True
PA,2007,12563937.0,2839574.0,46058.0,272.78511876329844,5.608684374493493,9724363.0,5865657.730769231,0.22600988846091793,0.773990111539082,0.006659605957786363,4,False,False,False,False,True
PA,2008,12612285.0,2821004.0,46058.0,273.83483868166223,5.612525146109972,9791281.0,5920285.230769231,0.22367112700038097,0.7763288729996191,0.0068814790233560075,4,False,False,False,False,True
PA,2009,12666858.0,2804929.0,46058.0,275.01971427330756,5.616842783363663,9861929.0,5971383.442307692,0.22143841827231348,0.7785615817276865,0.007215399088229546,4,False,False,False,False,True
PA,2010,12710472.0,2785316.0,46058.0,275.9666507447132,5.620280027781444,9925156.0,6020144.288461538,0.21913552856258997,0.78086447143741,0.006411220360641456,4,False,False,False,False,True
PA,2011,12741310.0,2761343.0,46058.0,276.6361978375092,5.6227032777598085,9979967.0,6062868.153846154,0.2167236335981151,0.7832763664018849,0.005522432090739882,4,False,False,False,False,True
PA,2012,12764475.0,2737905.0,46058.0,277.1391506361544,5.6245197289193705,10026570.0,6106254.423076923,0.21449413313120985,0.7855058668687901,0.004669654719299254,4,False,False,False,False,True
PA,2013,12773801.0,2715645.0,46058.0,277.3416344608971,5.625250083655497,10058156.0,6148921.634615385,0.21259490421057914,0.7874050957894209,0.003150229839316898,4,False,False,False,False,True
PR,2000,3810605.0,1089063.0,3515.0,1084.0981507823612,6.988503722902818,2721542.0,5499481.076923077,0.2857979244765595,0.7142020755234405,,0,True,False,False,False,False
PR,2001,3818774.0,1077566.0,3515.0,1086.4221906116643,6.9906451824165785,2741208.0,5553610.173076923,0.2821759025278794,0.7178240974721206,0.007226050525768191,0,True,False,False,False,False
PR,2002,3823701.0,1065051.0,3515.0,1087.8238975817924,6.991934555475068,2758650.0,5604786.423076923,0.2785393000132594,0.7214606999867406,0.0063628881865220865,0,True,False,False,False,False
PR,2003,3826095.0,1050615.0,3515.0,1088.5049786628733,6.992560454539083,2775480.0,5652577.461538462,0.2745919795509521,0.725408020449048,0.006100810178891747,0,True,False,False,False,False
PR,2004,3826878.0,1035919.0,3515.0,1088.7277382645805,6.99276508089873,2790959.0,5704464.923076923,0.27069559050484493,0.7293044094951551,0.005577053338521543,0,True,False,False,False,False
